departement,circonscription,inscrits,votants,blancs,exprimes,numero_panneau,sexe,nom,prenom,nuance,voix
01,1,82673,35728,2245,32678,1,M,MALLET,Laurent,MDM,15114
01,1,82673,35728,2245,32678,5,M,BRETON,Xavier,LR,17564
01,2,93507,39166,2424,35875,6,F,BEGUET,Marie Jeanne,MDM,17319
01,2,93507,39166,2424,35875,8,M,DE LA VERPILLIÈRE,Charles,LR,18556
01,3,75548,29110,1815,26756,4,F,GIVERNET,Olga,REM,16552
01,3,75548,29110,1815,26756,7,F,PERNOD BEAUDON,Stéphanie,LR,10204
01,4,89382,38303,2670,34936,5,M,TROMPILLE,Stéphane,REM,22532
01,4,89382,38303,2670,34936,10,F,CHAUSSAT,Blanche,FN,12404
01,5,75289,31720,2050,28921,9,M,ABAD,Damien,LR,19383
01,5,75289,31720,2050,28921,12,F,DE MEIRE,Hélène,REM,9538
02,1,72347,32764,2262,29678,3,F,BONO-VANDORME,Aude,REM,16684
02,1,72347,32764,2262,29678,4,M,PHILIPPOT,Damien,FN,12994
02,2,73976,31655,1672,29274,1,M,DIVE,Julien,LR,19019
02,2,73976,31655,1672,29274,7,F,SAILLARD-MEUNIER,Sylvie,FN,10255
02,3,68085,31338,1606,29045,3,M,BRICOUT,Jean-Louis,SOC,17558
02,3,68085,31338,1606,29045,10,M,HANSEN-CATTA,Paul-Henry,FN,11487
02,4,79114,32031,2192,28887,2,M,MESSIHA,Jean,FN,12631
02,4,79114,32031,2192,28887,9,M,DELATTE,Marc,REM,16256
02,5,82224,36983,2253,33913,4,M,KRABAL,Jacques,REM,19609
02,5,82224,36983,2253,33913,8,M,DE VOYER,François,FN,14304
03,1,89693,44217,2522,40339,7,F,RIVIERE,Pauline,REM,19424
03,1,89693,44217,2522,40339,11,M,DUFRÈGNE,Jean-Paul,COM,20915
03,2,84575,39226,3711,33423,2,M,DUGLÉRY,Daniel,LR,16027
03,2,84575,39226,3711,33423,12,F,VANCEUNEBROCK-MIALON,Laurence,REM,17396
03,3,79155,36002,2927,31625,3,F,PEYROL,Bénédicte,REM,18480
03,3,79155,36002,2927,31625,6,M,MAQUIN,Gabriel,LR,13145
04,1,61138,28035,2531,24542,7,F,BAGARRY,Delphine,REM,15609
04,1,61138,28035,2531,24542,12,F,BRUN,Odile,FN,8933
04,2,65327,29887,2174,26656,5,M,WALTER,Léo,FI,10244
04,2,65327,29887,2174,26656,6,M,CASTANER,Christophe,REM,16412
05,1,57743,25134,2966,20979,4,F,ASSO,Catherine,LR,8828
05,1,57743,25134,2966,20979,11,F,BOYER,Pascale,REM,12151
05,2,52159,24348,1875,21746,1,M,GIRAUD,Joël,REM,14823
05,2,52159,24348,1875,21746,6,M,MURGIA,Arnaud,DVD,6923
06,1,80469,37286,1324,35381,5,F,REVERSO-MEINIETTI,Caroline,REM,15493
06,1,80469,37286,1324,35381,8,M,CIOTTI,Eric,LR,19888
06,2,85498,36367,2720,32951,1,M,COCHET,Jérôme,FN,13483
06,2,85498,36367,2720,32951,6,M,DOMBREVAL,Loîc,REM,19468
06,3,89137,35377,2119,32482,1,M,ROUSSEL,Cédric,REM,19762
06,3,89137,35377,2119,32482,12,M,VARDON,Philippe,FN,12720
06,4,85586,35370,2040,32321,7,F,VALETTA ARDISSON,Alexandra,REM,17047
06,4,85586,35370,2040,32321,14,M,BETTATI,Olivier,FN,15274
06,5,87900,34807,2106,31736,3,F,AGNELY,Chantal,FN,12311
06,5,87900,34807,2106,31736,6,F,BRENIER,Marine,LR,19425
06,6,77999,32177,2159,29731,1,F,AUDIN,Nathalie,MDM,12680
06,6,77999,32177,2159,29731,10,F,TRASTOUR-ISNART,Laurence,LR,17051
06,7,92854,41723,2088,39153,2,M,PAUGET,Eric,LR,23278
06,7,92854,41723,2088,39153,13,M,BEN ABDERRAHMANE,Khaled,REM,15875
06,8,81987,33045,2022,30464,9,M,BUERCH,Philippe,REM,13061
06,8,81987,33045,2022,30464,10,M,BROCHAND,Bernard,LR,17403
06,9,79936,34691,1767,32477,7,F,FILLEBEEN,Dominique,REM,14947
06,9,79936,34691,1767,32477,10,F,TABAROT,Michèle,LR,17530
07,1,77920,34153,3215,29287,5,M,DUPONT,André,REM,12294
07,1,77920,34153,3215,29287,14,M,SAULIGNAC,Hervé,SOC,16993
07,2,93064,43346,2839,39311,6,F,GOUYET-POMMARET,Laurette,REM,17179
07,2,93064,43346,2839,39311,9,M,DUSSOPT,Olivier,SOC,22132
07,3,78251,36764,4133,30902,9,M,BRUN,Fabrice,LR,16926
07,3,78251,36764,4133,30902,12,M,PEYRAUD,Matthieu,REM,13976
08,1,73371,30381,1787,27715,1,M,MORALI,Jean-Pierre,REM,8404
08,1,73371,30381,1787,27715,10,F,POLETTI,Bérengère,LR,19311
08,2,63880,24495,1724,21901,3,M,IGLESIAS,Mario,REM,8530
08,2,63880,24495,1724,21901,5,M,CORDIER,Pierre,LR,13371
08,3,57036,25533,1312,23658,6,M,WARSMANN,Jean-Luc,LR,17678
08,3,57036,25533,1312,23658,7,F,BLOMME,Amandine,FN,5980
09,1,56731,28613,2041,25409,2,M,AZEMA,Jérôme,REM,12633
09,1,56731,28613,2041,25409,4,F,TAURINE,Bénédicte,FI,12776
09,2,60672,28581,2242,24870,8,F,BERTRAND-VINZERICH,Huguette,REM,12298
09,2,60672,28581,2242,24870,9,M,LARIVE,Michel,FI,12572
10,1,64360,32491,1073,31099,2,M,BESSON-MOREAU,Grégory,REM,11339
10,1,64360,32491,1073,31099,3,M,DHUICQ,Nicolas,LR,10980
10,1,64360,32491,1073,31099,8,M,SUBTIL,Bruno,FN,8780
10,2,73880,33425,2560,29841,11,F,BAZIN-MALGRAS,Valérie,LR,16501
10,2,73880,33425,2560,29841,12,F,HADDAD,Djamila,REM,13340
10,3,65653,27494,2066,24425,4,M,MENUEL,Gérard,LR,12877
10,3,65653,27494,2066,24425,11,M,LANDRÉAT,Pascal,MDM,11548
11,1,95134,45100,3895,39412,12,F,HÉRIN,Danièle,REM,23137
11,1,95134,45100,3895,39412,13,M,BARTHÈS,Christophe,FN,16275
11,2,88898,38200,3459,33155,6,M,DARAUD,Jean-François,FN,13774
11,2,88898,38200,3459,33155,10,M,PEREA,Alain,REM,19381
11,3,88637,44095,4751,36923,6,F,ROBERT,Mireille,REM,19605
11,3,88637,44095,4751,36923,12,M,VIOLA,André,SOC,17318
12,1,76397,38788,2623,34980,2,M,MAZARS,Stéphane,REM,23217
12,1,76397,38788,2623,34980,9,M,CENSI,Yves,LR,11763
12,2,69769,23706,5910,16013,5,F,BLANC,Anne,REM,16013
12,3,71800,39347,2668,35383,1,M,AUSTRUY,Jean-Louis,REM,14449
12,3,71800,39347,2668,35383,4,M,VIALA,Arnaud,LR,20934
13,1,78414,28955,1958,26370,10,F,BOYER,Valérie,LR,14531
13,1,78414,28955,1958,26370,15,M,CHAMASSIAN,Pascal,REM,11839
13,2,78714,33191,2006,30539,8,M,TIAN,Dominique,LR,13814
13,2,78714,33191,2006,30539,15,F,PITOLLAT,Claire,REM,16725
13,3,73497,26084,1219,24467,3,M,RAVIER,Stéphane,FN,11641
13,3,73497,26084,1219,24467,9,F,LOUIS,Alexandra,REM,12826
13,4,59685,21354,1061,19904,8,F,VERSINI,Corinne,REM,7992
13,4,59685,21354,1061,19904,11,M,MÉLENCHON,Jean-Luc,FI,11912
13,5,69055,26900,1889,24373,2,M,DAVI,Hendrik,FI,11648
13,5,69055,26900,1889,24373,10,F,RACON-BOUZON,Cathy,REM,12725
13,6,75652,29058,1864,26711,2,F,LEPRETTRE,Eléonore,MDM,12412
13,6,75652,29058,1864,26711,8,M,TEISSIER,Guy,LR,14299
13,7,65444,18091,967,16814,8,F,GRECH,Sophie,FN,6996
13,7,65444,18091,967,16814,15,M,AHAMADA,Saïd,REM,9818
13,8,100092,41849,2623,38255,15,M,ZULESI,Jean-Marc,REM,22448
13,8,100092,41849,2623,38255,16,M,BAUDINO,Antoine,FN,15807
13,9,96957,39093,2716,35208,3,F,BRUNET,Sylvie,MDM,17333
13,9,96957,39093,2716,35208,13,M,DEFLESSELLES,Bernard,LR,17875
13,10,106109,43264,2895,39427,8,M,JACOBELLI,Laurent,FN,16451
13,10,106109,43264,2895,39427,10,M,LAMBERT,François-Michel,REM,22976
13,11,89268,34614,2695,31018,1,M,KERT,Christian,LR,15214
13,11,89268,34614,2695,31018,7,M,LAQHILA,Mohamed,MDM,15804
13,12,92158,33772,2747,30357,1,M,DIARD,Eric,LR,18861
13,12,92158,33772,2747,30357,8,F,BAL,Camille,REM,11496
13,13,93817,38703,2734,34615,3,F,SIREROLS,Magali,REM,13013
13,13,93817,38703,2734,34615,14,M,DHARRÉVILLE,Pierre,COM,21602
13,14,96420,40119,3187,35697,5,F,PETEL,Anne-Laurence,REM,21500
13,14,96420,40119,3187,35697,13,M,PAOLI,Stéphane,LR,14197
13,15,104899,47671,3106,42917,1,F,FARRO,Nathalie,REM,18675
13,15,104899,47671,3106,42917,11,M,REYNÈS,Bernard,LR,24242
13,16,90614,39456,2412,35846,4,F,LAUPIES,Valérie,FN,17505
13,16,90614,39456,2412,35846,10,F,MICHEL,Monica,REM,18341
14,1,70099,30664,2895,26707,7,M,LE VIGOUREUX,Fabrice,REM,17340
14,1,70099,30664,2895,26707,10,F,DE LA PROVÔTÉ,Sonia,UDI,9367
14,2,67591,29988,1486,27782,6,F,DUMONT,Laurence,SOC,14814
14,2,67591,29988,1486,27782,13,M,HALPHEN,Eric,REM,12968
14,3,78925,33904,2849,29568,5,M,LECLERC,Sébastien,LR,15174
14,3,78925,33904,2849,29568,11,F,LEHERICY,Florence,MDM,14394
14,4,101010,44655,2688,40532,1,F,AMELINE,Nicole,LR,17908
14,4,101010,44655,2688,40532,13,M,BLANCHET,Christophe,REM,22624
14,5,90002,41027,2994,36797,3,M,NOUVELOT,Cédric,LR,16439
14,5,90002,41027,2994,36797,5,M,BOUYX,Bertrand,REM,20358
14,6,93551,40716,3579,35541,5,M,TOURRET,Alain,REM,24289
14,6,93551,40716,3579,35541,10,M,ROY,Jean-Philippe,FN,11252
15,1,62969,33075,1850,30330,9,M,DANEMANS,François,REM,14829
15,1,62969,33075,1850,30330,10,M,DESCOEUR,Vincent,LR,15501
15,2,54290,28061,1356,26005,5,M,BONY,Jean-Yves,LR,14501
15,2,54290,28061,1356,26005,10,F,ROCHES,Patricia,REM,11504
16,1,84935,35362,1902,32295,7,M,MESNIER,Thomas,REM,19360
16,1,84935,35362,1902,32295,8,F,BOUTIN,Martine,FI,12935
16,2,83946,36132,2960,31529,7,M,SAUVAITRE,Daniel,LR,13011
16,2,83946,36132,2960,31529,11,F,MARSAUD,Sandra,REM,18518
16,3,90886,42656,3074,37288,5,F,NGOMBET BITOO,Madeleine,REM,14951
16,3,90886,42656,3074,37288,10,M,LAMBERT,Jérôme,SOC,22337
17,1,103197,44813,2173,41678,3,M,FALORNI,Olivier,DVG,28765
17,1,103197,44813,2173,41678,11,F,FERREIRA,Otilia,MDM,12913
17,2,104292,43219,3634,38166,3,F,MARCILLY,Sylvie,LR,16307
17,2,104292,43219,3634,38166,6,F,TUFFNELL,Fréderique,REM,21859
17,3,82186,34424,3554,29099,6,M,NEVEU,Frederic,LR,12360
17,3,82186,34424,3554,29099,8,M,ARDOUIN,Jean-Philippe,REM,16739
17,4,89894,39719,2969,35229,10,M,GIRARD,Loic,LR,17159
17,4,89894,39719,2969,35229,12,M,GÉRARD,Raphaël,REM,18070
17,5,111434,47910,3919,42175,5,M,POTENNEC,Gérard,DIV,19024
17,5,111434,47910,3919,42175,8,M,QUENTIN,Didier,LR,23151
