departement,circonscription,inscrits,votants,blancs,exprimes,numero_panneau,sexe,nom,prenom,nuance,voix
18,1,72563,31728,3446,27393,4,M,CORMIER-BOULIGEON,François,REM,15397
18,1,72563,31728,3446,27393,6,M,D'ORMESSON,Wladimir,LR,11996
18,2,70141,30443,2203,27328,3,M,SANSU,Nicolas,COM,12962
18,2,70141,30443,2203,27328,8,F,ESSAYAN,Nadia,MDM,14366
18,3,86159,39267,3103,34911,4,M,KERVRAN,Loïc,REM,17775
18,3,86159,39267,3103,34911,6,M,GALUT,Yann,SOC,17136
19,1,92643,49237,4201,42128,2,M,COMBES,Bernard,SOC,19619
19,1,92643,49237,4201,42128,10,M,JERRETIE,Christophe,REM,22509
19,2,92531,44857,4337,37723,2,F,BORDAS,Patricia,REM,18849
19,2,92531,44857,4337,37723,14,F,MEUNIER,Frédérique,LR,18874
21,1,68463,31952,2913,28204,10,M,DUGOURD,François-Xavier,DVD,12935
21,1,68463,31952,2913,28204,15,M,MARTIN,Didier,REM,15269
21,2,68771,30444,2327,27369,11,M,DELATTE,Rémi,LR,14352
21,2,68771,30444,2327,27369,12,M,DESEILLE,François,REM,13017
21,3,70441,30402,2726,26876,3,F,KHATTABI,Fadila,REM,17553
21,3,70441,30402,2726,26876,8,M,BATHELIER,Jean-François,FN,9323
21,4,68705,32711,3288,28104,8,F,DE COURSON,Yolaine,REM,14414
21,4,68705,32711,3288,28104,10,M,BARRIERE,Charles,LR,13690
21,5,84433,36978,2846,33141,4,M,POULLOT,Hubert,LR,15319
21,5,84433,36978,2846,33141,6,M,PARIS,Didier,REM,17822
22,1,89815,41664,3034,37028,7,M,LESAGE,Michel,SOC,14795
22,1,89815,41664,3034,37028,10,M,JONCOUR,Bruno,MDM,22233
22,2,96776,47356,3992,41814,4,M,DÉRU,Didier,LR,14980
22,2,96776,47356,3992,41814,9,M,BERVILLE,Hervé,REM,26834
22,3,86780,49986,1872,47252,3,M,ALLAIN,Olivier,REM,21584
22,3,86780,49986,1872,47252,9,M,LE FUR,Marc,LR,25668
22,4,78690,39868,2581,35758,9,F,LE HOUÉROU,Annie,SOC,17705
22,4,78690,39868,2581,35758,11,M,KERLOGOT,Yannick,REM,18053
22,5,103752,50676,4675,44024,3,M,DE CHAISEMARTIN,Jean-Yves,UDI,14788
22,5,103752,50676,4675,44024,9,M,BOTHOREL,Eric,REM,29236
23,1,92984,44710,4878,37246,3,M,MOREAU,Jean-Baptiste,REM,21688
23,1,92984,44710,4878,37246,9,M,SAUTY,Jérémie,LR,15558
24,1,76013,36953,2456,32931,2,M,CHASSAING,Philippe,REM,17298
24,1,76013,36953,2456,32931,8,F,REYS,Hélène,FI,15633
24,2,82415,38941,3711,33648,4,M,DELPON,Michel,REM,22317
24,2,82415,38941,3711,33648,8,M,DUBOIS,Robert,FN,11331
24,3,67406,37466,2946,32699,1,M,CUBERTAFON,Jean-Pierre,MDM,16678
24,3,67406,37466,2946,32699,9,F,LANGLADE,Colette,SOC,16021
24,4,87718,44239,3236,39126,1,F,CHALARD,Émilie,FI,17136
24,4,87718,44239,3236,39126,8,F,DUBOIS,Jacqueline,REM,21990
25,1,75240,31888,2494,28312,8,F,ROMAGNAN,Barbara,SOC,13169
25,1,75240,31888,2494,28312,9,F,CHARVIER,Fannette,REM,15143
25,2,78394,35059,2448,31632,1,M,ALAUZET,Eric,ECO,19672
25,2,78394,35059,2448,31632,4,M,FAGAUT,Ludovic,LR,11960
25,3,65923,29017,2477,25473,1,M,CARTIER,Frédéric,LR,12530
25,3,65923,29017,2477,25473,9,M,SOMMER,Denis,REM,12943
25,4,66862,28545,1940,25701,6,M,BARBIER,Frédéric,REM,15841
25,4,66862,28545,1940,25701,8,F,MONTEL,Sophie,FN,9860
25,5,81964,39352,1953,36486,5,F,LE HIR,Sylvie,REM,14674
25,5,81964,39352,1953,36486,10,F,GENEVARD,Annie,LR,21812
26,1,75255,30415,2609,26802,6,F,CLAPOT,Mireille,REM,15248
26,1,75255,30415,2609,26802,14,M,RACT-MADOUX,Bertrand,LR,11554
26,2,93264,39392,2946,35379,3,F,PELLIER,Laure,FN,13160
26,2,93264,39392,2946,35379,8,F,THOUROT,Alice,REM,22219
26,3,106713,50260,5489,43024,2,M,BERARD,Paul,LR,18506
26,3,106713,50260,5489,43024,13,F,DE LAVERGNE,Célia,REM,24518
26,4,94249,40432,3403,35636,5,F,CHAY,Latifa,REM,15520
26,4,94249,40432,3403,35636,9,F,ANTHOINE,Emmanuelle,LR,20116
27,1,86406,36514,2511,33159,12,M,LE MAIRE,Bruno,REM,21398
27,1,86406,36514,2511,33159,13,F,DELACOUR,Fabienne,FN,11761
27,2,78471,35203,2745,31709,2,M,CAMOIN,Emmanuel,FN,11653
27,2,78471,35203,2745,31709,4,M,GOUTTEFARDE,Fabien,REM,20056
27,3,84388,38738,2792,35063,4,M,HOUSSIN,Timothée,FN,14275
27,3,84388,38738,2792,35063,7,F,TAMARELLE-VERHAEGHE,Marie,MDM,20788
27,4,89940,38547,3225,34298,5,M,QUESTEL,Bruno,REM,20755
27,4,89940,38547,3225,34298,11,F,PERREAUX,Doris,FN,13543
27,5,88484,37811,3131,33588,11,F,O'PETIT,Claire,REM,18804
27,5,88484,37811,3131,33588,15,M,TAILLIEU,Vincent,FN,14784
28,1,89131,38733,3096,34661,3,M,KASBARIAN,Guillaume,REM,19127
28,1,89131,38733,3096,34661,4,M,MASSELUS,Franck,LR,15534
28,2,74320,29772,1726,27455,2,M,MARLEIX,Olivier,LR,16303
28,2,74320,29772,1726,27455,11,F,HOUD,Claire Tassadit,REM,11152
28,3,70743,31860,2000,28997,2,M,HUWART,Harold,RDG,12729
28,3,70743,31860,2000,28997,9,F,DE LA RAUDIERE,Laure,LR,16268
28,4,67208,31718,1636,29390,2,F,ROUVIER,Clémence,REM,8705
28,4,67208,31718,1636,29390,3,M,VIGIER,Philippe,UDI,20685
29,1,88866,42230,2639,38427,4,F,LE MEUR,Annaïg,REM,20925
29,1,88866,42230,2639,38427,14,M,URVOAS,Jean-Jacques,SOC,17502
29,2,77724,34260,2851,31284,3,M,CADALEN,Pierre-Yves,FI,12646
29,2,77724,34260,2851,31284,5,M,LARSONNEUR,Jean-Charles,REM,18638
29,3,89311,40725,2777,37226,4,M,LE GAC,Didier,REM,22593
29,3,89311,40725,2777,37226,7,M,BLEUNVEN,Jean-Luc,DVG,14633
29,4,82153,41064,3505,36441,7,F,LE FEUR,Sandrine,REM,19001
29,4,82153,41064,3505,36441,11,M,DE CALAN,Maël,LR,17440
29,5,94491,43330,3380,38887,3,F,MELCHIOR,Graziella,REM,20957
29,5,94491,43330,3380,38887,6,M,LECLERC,Patrick,DVD,17930
29,6,89269,43065,4327,37131,3,F,NICOLAS,Gaëlle,LR,16140
29,6,89269,43065,4327,37131,4,M,FERRAND,Richard,REM,20991
29,7,80365,38003,3807,32744,6,F,TANGUY,Liliane,REM,20611
29,7,80365,38003,3807,32744,11,M,GUILLON,Didier,LR,12133
29,8,87201,39920,3024,35436,1,M,QUERNEZ,Michael,SOC,17203
29,8,87201,39920,3024,35436,8,M,BALANANT,Erwan,REM,18233
2A,1,50873,20737,1058,18892,3,M,FERRARA,Jean-Jacques,LR,12278
2A,1,50873,20737,1058,18892,7,F,GUIDICELLI,Maria,REM,6614
2A,2,57877,31866,1105,30128,4,M,COLOMBANI,Paul-André,REG,16637
2A,2,57877,31866,1105,30128,5,M,DE ROCCA SERRA,Camille,LR,13491
2B,1,58772,28930,1315,26769,3,M,GANDOLFI-SCHEIT,Sauveur,LR,10490
2B,1,58772,28930,1315,26769,9,M,CASTELLANI,Michel,REG,16279
2B,2,65966,35851,1404,33727,4,M,ACQUAVIVA,Jean-Félix,REG,21302
2B,2,65966,35851,1404,33727,6,M,GIUDICI,Francis,REM,12425
30,1,86941,35012,2256,31835,1,M,GILLET,Yoann,FN,14470
30,1,86941,35012,2256,31835,10,F,DUMAS,Françoise,REM,17365
30,2,89016,42915,2322,39545,1,M,COLLARD,Gilbert,FN,19834
30,2,89016,42915,2322,39545,11,F,MARIE SARA,.,MDM,19711
30,3,93543,41068,2917,37120,7,F,TEZENAS DU MONTCEL,Monique,FN,15212
30,3,93543,41068,2917,37120,8,M,CELLIER,Anthony,REM,21908
30,4,91103,39230,3577,34402,2,F,ROULLAUD,Brigitte,FN,14375
30,4,91103,39230,3577,34402,11,F,CHAPELIER,Annie,REM,20027
30,5,95845,42449,4326,36605,2,F,DE VIDO,Daniela,FN,13337
30,5,95845,42449,4326,36605,15,M,GAILLARD,Olivier,REM,23268
30,6,81176,32923,2325,29626,4,F,GARDET,Laurence,FN,11747
30,6,81176,32923,2325,29626,6,M,BERTA,Philippe,REM,17879
31,1,82095,35296,2277,31759,5,M,CABARE,Pierre,REM,16203
31,1,82095,35296,2277,31759,12,F,DUJARDIN,Claire,FI,15556
31,2,100474,44608,2691,40694,8,F,STAMBACH-TERRENOIR,Anne,FI,18113
31,2,100474,44608,2691,40694,10,M,LAGLEIZE,Jean-Luc,MDM,22581
31,3,78104,35862,3975,30683,1,F,VIGNON,Corinne,REM,16254
31,3,78104,35862,3975,30683,6,F,ARRIBAGÉ,Laurence,LR,14429
31,4,69348,28478,1552,26307,1,M,HOANG NGOC,Liem,FI,12650
31,4,69348,28478,1552,26307,13,M,NOGAL,Mickaël,REM,13657
31,5,98384,43495,3529,38595,6,M,LEONARDELLI,Julien,FN,12504
31,5,98384,43495,3529,38595,9,M,PORTARRIEU,Jean-François,REM,26091
31,6,111355,51734,3449,46417,14,M,JIMENA,Patrick,FI,20483
31,6,111355,51734,3449,46417,16,F,IBORRA,Monique,REM,25934
31,7,99767,44486,3851,39093,4,F,DOMBES,Marie,FN,12572
31,7,99767,44486,3851,39093,6,F,TOUTUT-PICARD,Elisabeth,REM,26521
31,8,85426,40332,3671,34449,2,M,AVIRAGNET,Joël,SOC,17270
31,8,85426,40332,3671,34449,6,M,MONTSARRAT,Michel,REM,17179
31,9,79397,34429,2021,31449,1,M,BOMPARD,Manuel,FI,14991
31,9,79397,34429,2021,31449,12,F,MÖRCH,Sandrine,REM,16458
31,10,95358,49794,3621,44560,2,F,FABRE,Monique,FI,17512
31,10,95358,49794,3621,44560,7,M,NADOT,Sébastien,REM,27048
32,1,73503,37577,3579,32292,2,M,DUPOUEY,Francis,SOC,13159
32,1,73503,37577,3579,32292,5,M,CAZENEUVE,Jean-René,REM,19133
32,2,71502,35923,3289,30973,2,M,SOCCIO,Christopher,REM,15001
32,2,71502,35923,3289,30973,12,F,BIÉMOURET,Gisèle,SOC,15972
33,1,94988,38492,2855,34645,1,F,DAVID,Dominique,REM,20645
33,1,94988,38492,2855,34645,4,M,FLORIAN,Nicolas,LR,14000
33,2,65995,25143,2576,21749,10,F,FABRE,Catherine,REM,13874
33,2,65995,25143,2576,21749,14,F,WALRYCK,Anne,LR,7875
33,3,81024,34691,1592,32365,4,M,PRUD'HOMME,Loïc,FI,16248
33,3,81024,34691,1592,32365,21,M,FETOUH,Marik,REM,16117
33,4,93631,34974,3003,30542,1,M,DAVID,Alain,SOC,15550
33,4,93631,34974,3003,30542,9,M,S'KALLI-BOUAZIZA,Aziz,REM,14992
33,5,110514,46708,3273,41643,7,F,GOT,Pascale,SOC,20632
33,5,110514,46708,3273,41643,11,M,SIMIAN,Benoit,REM,21011
33,6,103728,44436,2882,40280,9,F,RÉCALDE,Marie,SOC,16590
33,6,103728,44436,2882,40280,10,M,POULLIAT,Eric,REM,23690
33,7,76934,34126,2109,31065,8,F,COUILLARD,Bérangère,REM,17304
33,7,76934,34126,2109,31065,14,M,GARRIGOU,Bernard,SOC,13761
33,8,109060,49240,3145,44710,1,F,PANONACLE,Sophie,REM,26713
33,8,109060,49240,3145,44710,5,M,FOULON,Yves,LR,17997
33,9,93598,39773,4031,33733,8,M,SAVARY,Gilles,SOC,15674
33,9,93598,39773,4031,33733,9,F,METTE,Sophie,MDM,18059
33,10,80799,36091,2624,32067,7,M,BOUDIÉ,Florent,REM,21772
33,10,80799,36091,2624,32067,11,F,CHADOURNE,Sandrine,FN,10295
33,11,92940,40799,2584,36976,12,F,HAMMERER,Véronique,REM,21085
33,11,92940,40799,2584,36976,16,F,DIAZ,Edwige,FN,15891
33,12,83342,38565,2523,34688,6,F,DUBOS,Christelle,REM,19670
33,12,83342,38565,2523,34688,8,M,MIQUEU,Christophe,FI,15018
34,1,84644,33993,2886,30258,4,F,JAMET,France,FN,10381
34,1,84644,33993,2886,30258,6,F,MIRALLÈS,Patricia,REM,19877
34,2,60438,22707,1480,20677,7,F,JANNIN,Stéphanie,REM,9866
34,2,60438,22707,1480,20677,14,F,RESSIGUIER,Muriel,FI,10811
34,3,85109,37702,3017,33437,6,M,VIDAL,Stéphane,FI,13226
34,3,85109,37702,3017,33437,7,F,DUBOST,Coralie,REM,20211
34,4,111989,46308,4592,40203,1,M,GAUBERT,François,FN,13771
34,4,111989,46308,4592,40203,2,M,ELIAOU,Jean-François,REM,26432
34,5,94240,41863,4126,36276,6,M,ARDINAT,Gilles,FN,15107
34,5,94240,41863,4126,36276,10,M,HUPPÉ,Philippe,REM,21169
34,6,91267,41586,2154,38590,3,F,VOYER,Isabelle,REM,17950
34,6,91267,41586,2154,38590,14,F,MÉNARD,Emmanuelle,FN,20640
34,7,102087,43641,3158,39037,8,M,EUZET,Christophe,REM,20623
34,7,102087,43641,3158,39037,14,F,ROQUES,Myriam,FN,18414
34,8,88548,35586,3081,31437,4,M,PRATO,Gérard,FN,11680
34,8,88548,35586,3081,31437,13,M,DÉMOULIN,Nicolas,REM,19757
34,9,82125,33299,2446,29893,2,M,VOUZELLAUD,Guillaume,FN,10600
34,9,82125,33299,2446,29893,7,M,VIGNAL,Patrick,REM,19293
35,1,89688,38024,4085,32865,1,M,LAABID,Mostapha,REM,19346
35,1,89688,38024,4085,32865,7,M,LE BLOND,Grégoire,UDI,13519
35,2,92294,41914,4478,36165,7,M,PLOUVIER,Bertrand,LR,9243
35,2,92294,41914,4478,36165,13,F,MAILLART-MÉHAIGNERIE,Laurence,MDM,26922
35,3,86153,37015,2990,32937,10,M,ANDRÉ,François,SOC,21693
35,3,86153,37015,2990,32937,12,F,PARMENTIER,Mélina,LR,11244
35,4,90383,39684,2020,36708,4,M,LE BOHEC,Gaël,REM,22667
35,4,90383,39684,2020,36708,9,M,MARTIN,Marc,FI,14041
35,5,103298,47725,2620,44173,3,F,LE CALLENNEC,Isabelle,LR,20627
35,5,103298,47725,2620,44173,10,F,CLOAREC,Christine,REM,23546
35,6,86948,42418,2372,39022,1,F,VAHÉ,Nolwenn,REM,16389
35,6,86948,42418,2372,39022,10,M,BENOIT,Thierry,UDI,22633
35,7,99142,49560,2312,46314,2,M,LURTON,Gilles,LR,26032
35,7,99142,49560,2312,46314,14,F,FRIBOLLE,Valérie,REM,20282
35,8,83469,38985,1991,36272,8,M,BACHELIER,Florian,REM,22111
35,8,83469,38985,1991,36272,16,F,LE PAPE,Enora,FI,14161
36,1,80545,35967,3101,31672,8,F,WUNSCH,Mylène,FN,9369
36,1,80545,35967,3101,31672,13,M,JOLIVET,François,REM,22303
36,2,90052,43498,4360,37180,9,M,FORISSIER,Nicolas,LR,19218
36,2,90052,43498,4360,37180,10,F,GUERIN,Sophie,MDM,17962
37,1,68633,27864,1990,25121,3,M,GILLE,Jean-Patrick,SOC,11573
37,1,68633,27864,1990,25121,14,M,CHALUMEAU,Philippe,REM,13548
37,2,88627,39832,3260,35513,7,M,LABARONNE,Daniel,REM,20192
37,2,88627,39832,3260,35513,11,F,GREFF,Claude,LR,15321
37,3,97488,44482,3830,39216,10,F,AUCONIE,Sophie,UDI,22194
37,3,97488,44482,3830,39216,12,F,TOURAINE,Marisol,SOC,17022
37,4,90130,39601,3873,34322,6,F,COLBOC,Fabienne,REM,19995
37,4,90130,39601,3873,34322,12,M,NOVELLI,Hervé,LR,14327
37,5,83880,36521,3192,32223,8,F,THILLAYE,Sabine,REM,18782
37,5,83880,36521,3192,32223,10,M,BOIGARD,Fabrice,LR,13441
38,1,83180,38017,3225,34090,5,M,VERAN,Olivier,REM,23212
