departement,circonscription,inscrits,votants,blancs,exprimes,numero_panneau,sexe,nom,prenom,voix
01,1,82652,64664,5857,56876,1,M,MACRON,Emmanuel,34232
01,1,82652,64664,5857,56876,2,F,LE PEN,Marine,22644
01,2,93364,73608,6473,65332,1,M,MACRON,Emmanuel,39188
01,2,93364,73608,6473,65332,2,F,LE PEN,Marine,26144
01,3,75433,57674,4963,51342,1,M,MACRON,Emmanuel,35769
01,3,75433,57674,4963,51342,2,F,LE PEN,Marine,15573
01,4,89280,70567,6328,62289,1,M,MACRON,Emmanuel,36102
01,4,89280,70567,6328,62289,2,F,LE PEN,Marine,26187
01,5,75221,56307,5231,49391,1,M,MACRON,Emmanuel,28518
01,5,75221,56307,5231,49391,2,F,LE PEN,Marine,20873
02,1,72295,55441,4752,48909,1,M,MACRON,Emmanuel,23492
02,1,72295,55441,4752,48909,2,F,LE PEN,Marine,25417
02,2,73948,55842,4373,49789,1,M,MACRON,Emmanuel,25434
02,2,73948,55842,4373,49789,2,F,LE PEN,Marine,24355
02,3,68127,52549,3940,46899,1,M,MACRON,Emmanuel,18835
02,3,68127,52549,3940,46899,2,F,LE PEN,Marine,28064
02,4,79187,57963,4504,51670,1,M,MACRON,Emmanuel,24588
02,4,79187,57963,4504,51670,2,F,LE PEN,Marine,27082
02,5,82234,63251,5269,55874,1,M,MACRON,Emmanuel,26853
02,5,82234,63251,5269,55874,2,F,LE PEN,Marine,29021
03,1,89714,69875,6871,60134,1,M,MACRON,Emmanuel,38345
03,1,89714,69875,6871,60134,2,F,LE PEN,Marine,21789
03,2,84622,63205,6432,53571,1,M,MACRON,Emmanuel,34520
03,2,84622,63205,6432,53571,2,F,LE PEN,Marine,19051
03,3,79143,61105,5574,53081,1,M,MACRON,Emmanuel,33714
03,3,79143,61105,5574,53081,2,F,LE PEN,Marine,19367
04,1,61143,47517,4656,41001,1,M,MACRON,Emmanuel,23184
04,1,61143,47517,4656,41001,2,F,LE PEN,Marine,17817
04,2,65316,49687,5015,42810,1,M,MACRON,Emmanuel,25810
04,2,65316,49687,5015,42810,2,F,LE PEN,Marine,17000
05,1,57730,44664,4366,38843,1,M,MACRON,Emmanuel,24502
05,1,57730,44664,4366,38843,2,F,LE PEN,Marine,14341
05,2,52162,40333,4304,34785,1,M,MACRON,Emmanuel,22709
05,2,52162,40333,4304,34785,2,F,LE PEN,Marine,12076
06,1,80477,57378,4271,51734,1,M,MACRON,Emmanuel,32051
06,1,80477,57378,4271,51734,2,F,LE PEN,Marine,19683
06,2,85675,64848,5771,57557,1,M,MACRON,Emmanuel,30248
06,2,85675,64848,5771,57557,2,F,LE PEN,Marine,27309
06,3,89107,64006,4812,57665,1,M,MACRON,Emmanuel,33634
06,3,89107,64006,4812,57665,2,F,LE PEN,Marine,24031
06,4,85760,64172,5385,56942,1,M,MACRON,Emmanuel,27438
06,4,85760,64172,5385,56942,2,F,LE PEN,Marine,29504
06,5,87933,65332,4946,58113,1,M,MACRON,Emmanuel,30432
06,5,87933,65332,4946,58113,2,F,LE PEN,Marine,27681
06,6,78083,58834,5798,52397,1,M,MACRON,Emmanuel,27009
06,6,78083,58834,5798,52397,2,F,LE PEN,Marine,25388
06,7,92849,70020,6383,62579,1,M,MACRON,Emmanuel,38519
06,7,92849,70020,6383,62579,2,F,LE PEN,Marine,24060
06,8,82004,59328,5245,52921,1,M,MACRON,Emmanuel,29384
06,8,82004,59328,5245,52921,2,F,LE PEN,Marine,23537
06,9,79892,59231,5173,53043,1,M,MACRON,Emmanuel,29692
06,9,79892,59231,5173,53043,2,F,LE PEN,Marine,23351
07,1,77887,60562,6326,51861,1,M,MACRON,Emmanuel,31175
07,1,77887,60562,6326,51861,2,F,LE PEN,Marine,20686
07,2,93025,73823,7023,64505,1,M,MACRON,Emmanuel,40894
07,2,93025,73823,7023,64505,2,F,LE PEN,Marine,23611
07,3,78304,60344,6451,51342,1,M,MACRON,Emmanuel,32530
07,3,78304,60344,6451,51342,2,F,LE PEN,Marine,18812
08,1,73326,55550,4927,48854,1,M,MACRON,Emmanuel,24976
08,1,73326,55550,4927,48854,2,F,LE PEN,Marine,23878
08,2,63871,45632,4039,40176,1,M,MACRON,Emmanuel,20535
08,2,63871,45632,4039,40176,2,F,LE PEN,Marine,19641
08,3,57152,43281,3821,37965,1,M,MACRON,Emmanuel,18913
08,3,57152,43281,3821,37965,2,F,LE PEN,Marine,19052
09,1,56738,43734,5065,36564,1,M,MACRON,Emmanuel,23960
09,1,56738,43734,5065,36564,2,F,LE PEN,Marine,12604
09,2,60668,46974,5068,39493,1,M,MACRON,Emmanuel,24023
09,2,60668,46974,5068,39493,2,F,LE PEN,Marine,15470
10,1,64350,50658,4502,44787,1,M,MACRON,Emmanuel,22501
10,1,64350,50658,4502,44787,2,F,LE PEN,Marine,22286
10,2,73832,57543,4978,50994,1,M,MACRON,Emmanuel,28113
10,2,73832,57543,4978,50994,2,F,LE PEN,Marine,22881
10,3,65618,49929,4182,44209,1,M,MACRON,Emmanuel,25196
10,3,65618,49929,4182,44209,2,F,LE PEN,Marine,19013
11,1,95088,74304,6837,64541,1,M,MACRON,Emmanuel,35350
11,1,95088,74304,6837,64541,2,F,LE PEN,Marine,29191
11,2,88876,66528,6320,57726,1,M,MACRON,Emmanuel,30671
11,2,88876,66528,6320,57726,2,F,LE PEN,Marine,27055
11,3,88679,69981,7020,60086,1,M,MACRON,Emmanuel,34880
11,3,88679,69981,7020,60086,2,F,LE PEN,Marine,25206
12,1,76420,61512,5698,53667,1,M,MACRON,Emmanuel,40221
12,1,76420,61512,5698,53667,2,F,LE PEN,Marine,13446
12,2,69911,55212,5274,47275,1,M,MACRON,Emmanuel,34748
12,2,69911,55212,5274,47275,2,F,LE PEN,Marine,12527
12,3,71766,57522,5743,49236,1,M,MACRON,Emmanuel,34371
12,3,71766,57522,5743,49236,2,F,LE PEN,Marine,14865
13,1,78349,56322,4275,50666,1,M,MACRON,Emmanuel,28095
13,1,78349,56322,4275,50666,2,F,LE PEN,Marine,22571
13,2,78721,57477,4314,52015,1,M,MACRON,Emmanuel,36426
13,2,78721,57477,4314,52015,2,F,LE PEN,Marine,15589
13,3,73445,50886,3600,46360,1,M,MACRON,Emmanuel,26167
13,3,73445,50886,3600,46360,2,F,LE PEN,Marine,20193
13,4,59630,39027,2512,35693,1,M,MACRON,Emmanuel,28071
13,4,59630,39027,2512,35693,2,F,LE PEN,Marine,7622
13,5,69007,49043,3583,44209,1,M,MACRON,Emmanuel,30393
13,5,69007,49043,3583,44209,2,F,LE PEN,Marine,13816
13,6,75597,53440,3914,48423,1,M,MACRON,Emmanuel,29343
13,6,75597,53440,3914,48423,2,F,LE PEN,Marine,19080
13,7,65358,40542,2075,37700,1,M,MACRON,Emmanuel,24473
13,7,65358,40542,2075,37700,2,F,LE PEN,Marine,13227
13,8,99982,76160,6741,67189,1,M,MACRON,Emmanuel,35800
13,8,99982,76160,6741,67189,2,F,LE PEN,Marine,31389
13,9,96958,72414,6587,63751,1,M,MACRON,Emmanuel,34736
13,9,96958,72414,6587,63751,2,F,LE PEN,Marine,29015
13,10,106021,81733,7197,72380,1,M,MACRON,Emmanuel,38120
13,10,106021,81733,7197,72380,2,F,LE PEN,Marine,34260
13,11,89232,66879,5383,59912,1,M,MACRON,Emmanuel,37873
13,11,89232,66879,5383,59912,2,F,LE PEN,Marine,22039
13,12,92152,69053,5917,61888,1,M,MACRON,Emmanuel,28146
13,12,92152,69053,5917,61888,2,F,LE PEN,Marine,33742
13,13,93716,68853,6621,59436,1,M,MACRON,Emmanuel,29237
13,13,93716,68853,6621,59436,2,F,LE PEN,Marine,30199
13,14,96560,74039,6118,66142,1,M,MACRON,Emmanuel,44903
13,14,96560,74039,6118,66142,2,F,LE PEN,Marine,21239
13,15,104757,81889,7330,71964,1,M,MACRON,Emmanuel,37100
13,15,104757,81889,7330,71964,2,F,LE PEN,Marine,34864
13,16,90572,68280,5771,60063,1,M,MACRON,Emmanuel,30452
13,16,90572,68280,5771,60063,2,F,LE PEN,Marine,29611
14,1,70080,54991,4351,49124,1,M,MACRON,Emmanuel,38863
14,1,70080,54991,4351,49124,2,F,LE PEN,Marine,10261
14,2,67570,51390,4183,45818,1,M,MACRON,Emmanuel,33475
14,2,67570,51390,4183,45818,2,F,LE PEN,Marine,12343
14,3,78940,60935,5134,53884,1,M,MACRON,Emmanuel,31081
14,3,78940,60935,5134,53884,2,F,LE PEN,Marine,22803
14,4,101046,78123,6678,68921,1,M,MACRON,Emmanuel,44964
14,4,101046,78123,6678,68921,2,F,LE PEN,Marine,23957
14,5,89925,71317,5766,63400,1,M,MACRON,Emmanuel,42275
14,5,89925,71317,5766,63400,2,F,LE PEN,Marine,21125
14,6,93501,74606,6017,65470,1,M,MACRON,Emmanuel,41957
14,6,93501,74606,6017,65470,2,F,LE PEN,Marine,23513
15,1,63001,49909,4818,43107,1,M,MACRON,Emmanuel,30959
15,1,63001,49909,4818,43107,2,F,LE PEN,Marine,12148
15,2,54393,42206,4221,36242,1,M,MACRON,Emmanuel,24452
15,2,54393,42206,4221,36242,2,F,LE PEN,Marine,11790
16,1,84961,63007,5574,55239,1,M,MACRON,Emmanuel,39610
16,1,84961,63007,5574,55239,2,F,LE PEN,Marine,15629
16,2,84021,64936,5649,56838,1,M,MACRON,Emmanuel,35782
16,2,84021,64936,5649,56838,2,F,LE PEN,Marine,21056
16,3,90969,71468,6484,61539,1,M,MACRON,Emmanuel,38308
16,3,90969,71468,6484,61539,2,F,LE PEN,Marine,23231
17,1,103267,78229,6712,69208,1,M,MACRON,Emmanuel,53736
17,1,103267,78229,6712,69208,2,F,LE PEN,Marine,15472
17,2,104354,80865,7745,70553,1,M,MACRON,Emmanuel,46790
17,2,104354,80865,7745,70553,2,F,LE PEN,Marine,23763
17,3,82243,63308,5748,55155,1,M,MACRON,Emmanuel,34737
17,3,82243,63308,5748,55155,2,F,LE PEN,Marine,20418
17,4,89928,70068,6252,61395,1,M,MACRON,Emmanuel,35716
17,4,89928,70068,6252,61395,2,F,LE PEN,Marine,25679
17,5,111506,87004,8263,76008,1,M,MACRON,Emmanuel,44486
17,5,111506,87004,8263,76008,2,F,LE PEN,Marine,31522
