departement,circonscription,communes
13,1,Marseille (en partie)
13,2,Marseille (en partie)
13,3,Marseille (en partie)
13,4,Marseille (en partie)
13,5,Marseille (en partie)
13,6,Marseille (en partie)
13,7,Marseille (en partie)
13,8,"Aurons, Berre-l'Etang, Cornillon-Confoux, Coudoux, Grans, La Barben, La Fare-les-Oliviers, Lançon-Provence, Pélissanne, Rognac, Saint-Chamas, Salon-de-Provence, Velaux et Ventabren"
13,9,"Aubagne, Carnoux-en-Provence, Cassis, Ceyreste, Cuges-les-Pins, Gémenos, La Ciotat, La Penne-sur-Huveaune et Roquefort-la-Bédoule"
13,10,"Allauch, Auriol, Belcodène, Bouc-Bel-Air, Cadolive, Gardanne, Gréasque, La Bouilladisse, La Destrousse, Meyreuil, Mimet, Peypin, Plan-de-Cuques, Roquevaire, Saint-Savournin et Simiane-Collongue"
13,11,"Aix-en-Provence (en partie), Cabriès, Eguilles, Les Pennes-Mirabeau et Septèmes-les-Vallons"
13,12,"Carry-le-Rouet, Châteauneuf-les-Martigues, Ensuès-la-Redonne, Gignac-la-Nerthe, Le Rove, Marignane, Saint-Victoret, Sausset-les-Pins et Vitrolles"
13,13,"Fos-sur-Mer, Istres (en partie), Martigues, Port-Saint-Louis-du-Rhône, Port-de-Bouc et Saint-Mitre-les-Remparts"
13,14,"Aix-en-Provence (en partie), Beaurecueil, Châteauneuf-le-Rouge, Fuveau, Jouques, Le Puy-Sainte-Réparade, Le Tholonet, Meyrargues, Peynier, Peyrolles-en-Provence, Puyloubier, Rousset, Saint-Antonin-sur-Bayon, Saint-Marc-Jaumegarde, Saint-Paul-lès-Durance, Trets, Vauvenargues et Venelles"
13,15,"Alleins, Aureille, Barbentane, Cabannes, Charleval, Châteaurenard, Eygalières, Eyguières, Eyragues, Graveson, La Roque-d'Anthéron, Lamanon, Lambesc, Les Baux-de-Provence, Maillane, Mallemort, Maussane-les-Alpilles, Mollégès, Mouriès, Noves, Orgon, Paradou, Plan-d'Orgon, Rognes, Rognonas, Saint-Andiol, Saint-Cannat, Saint-Estève-Janson, Saint-Rémy-de-Provence, Sénas, Vernègues et Verquières"
13,16,"Arles, Boulbon, Fontvieille, Istres (en partie), Mas-Blanc-des-Alpilles, Miramas, Saint-Etienne-du-Grès, Saint-Martin-de-Crau, Saint-Pierre-de-Mézoargues, Saintes-Maries-de-la-Mer et Tarascon"
14,1,"Audrieu, Authie, Bretteville-sur-Odon, Caen (en partie), Carcagny, Carpiquet, Cristot, Ducy-Sainte-Marguerite, Fleury-sur-Orne, Fontenay-le-Pesnel, Grainville-sur-Odon, Juvigny-sur-Seulles, Loucelles, Louvigny, Mondrainville, Mouen, Rots (en partie), Saint-Contest, Saint-Germain-la-Blanche-Herbe, Saint-Manvieu-Norrey, Saint-Vaast-sur-Seulles, Tessel, Thue-et-Mue, Tilly-sur-Seulles et Vendes"
14,2,"Argences, Banneville-la-Campagne, Caen (en partie), Cagny, Canteloup, Cléville, Cormelles-le-Royal, Cuverville, Démouville, Emiéville, Epron, Giberville, Hérouville-Saint-Clair, Ifs, Janville, Mondeville, Saint-Ouen-du-Mesnil-Oger, Saint-Pair, Saint-Pierre-du-Jonquet, Saline, Touffréville et Vimont"
14,3,"Aubigny, Auvillars, Barbery, Barou-en-Auge, Beaufour-Druval, Beaumais, Belle-Vie-en-Auge, Bernières-d'Ailly, Beuvron-en-Auge, Bonnebosq, Bonnoeil, Bons-Tassilly, Boulon, Bretteville-le-Rabet, Bretteville-sur-Laize, Cambremer, Castillon-en-Auge, Cauvicourt, Cernay, Cintheaux, Condé-sur-Ifs, Cordey, Courcy, Courtonne-les-Deux-Eglises, Crocy, Damblainville, Epaney, Eraines, Ernes, Estrées-la-Campagne, Falaise, Fontaine-le-Pin, Formentin, Fourches, Fourneaux-le-Val, Fresney-le-Puceux, Fresney-le-Vieux, Fresné-la-Mère, Gerrots, Gouvix, Grainville-Langannerie, Grimbosq, Hotot-en-Auge, Jort, La Boissière, La Folletière-Abenon, La Hoguette, La Houblonnière, La Roque-Baignard, La Vespière-Friardel, Le Bû-sur-Rouvres, Le Détroit, Le Fournet, Le Marais-la-Chapelle, Le Mesnil-Eudes, Le Mesnil-Simon, Le Mesnil-Villement, Le Pré-d'Auge, Leffard, Les Isles-Bardel, Les Loges-Saulces, Les Monceaux, Les Moutiers-en-Auge, Les Moutiers-en-Cinglais, Lessard-et-le-Chêne, Lisieux, Lisores, Livarot-Pays-d'Auge, Louvagny, Léaupartie, Maizières, Martigny-sur-l'Ante, Montreuil-en-Auge, Morteaux-Couliboeuf, Moulines, Mutrécy, Méry-Bissières-en-Auge, Mézidon-Vallée-d'Auge, Noron-l'Abbaye, Norrey-en-Auge, Notre-Dame-d'Estrées - Corbon, Notre-Dame-de-Livaye, Olendon, Orbec, Ouilly-le-Tesson, Perrières, Pertheville-Ners, Pierrefitte-en-Cinglais, Pierrepont, Pont-d'Ouilly, Potigny, Prêtreville, Rapilly, Repentigny, Rouvres, Rumesnil, Saint-Denis-de-Mailloc, Saint-Désir, Saint-Germain-Langot, Saint-Germain-de-Livet, Saint-Germain-le-Vasson, Saint-Jean-de-Livet, Saint-Laurent-de-Condel, Saint-Laurent-du-Mont, Saint-Martin-de-Bienfaite-la-Cressonnière, Saint-Martin-de-Mailloc, Saint-Martin-de-Mieux, Saint-Martin-de-la-Lieue, Saint-Ouen-le-Pin, Saint-Pierre-Canivet, Saint-Pierre-des-Ifs, Saint-Pierre-du-Bû, Saint-Pierre-en-Auge, Saint-Sylvain, Sassy, Soignolles, Soulangy, Soumont-Saint-Quentin, Tréprel, Urville, Ussy, Val-de-Vie, Valambray (en partie), Valorbiquet, Valsemé, Vendeuvre, Versainville, Vicques, Victot-Pontfol, Vignats, Villers-Canivet et Villy-lez-Falaise"
14,4,"Ablon, Amfreville, Angerville, Annebault, Auberville, Barneville-la-Bertran, Basseneville, Bavent, Beaumont-en-Auge, Benerville-sur-Mer, Beuvillers, Biéville-Beuville, Blainville-sur-Orne, Blangy-le-Château, Blonville-sur-Mer, Bonneville-la-Louvet, Bonneville-sur-Touques, Bourgeauville, Branville, Brucourt, Bréville-les-Monts, Bénouville, Cabourg, Canapville, Clarbec, Colleville-Montgomery, Colombelles, Coquainvilliers, Cordebugle, Coudray-Rabut, Courtonne-la-Meurdrac, Cresseveuille, Cricqueboeuf, Cricqueville-en-Auge, Danestal, Deauville, Dives-sur-Mer, Douville-en-Auge, Dozulé, Drubec, Englesqueville-en-Auge, Equemauville, Escoville, Fauguernon, Fierville-les-Parcs, Firfol, Fourneville, Fumichon, Genneville, Glanville, Glos, Gonneville-en-Auge, Gonneville-sur-Honfleur, Gonneville-sur-Mer, Goustranville, Grangues, Hermival-les-Vaux, Heuland, Honfleur, Houlgate, Hérouvillette, L'Hôtellerie, La Rivière-Saint-Sauveur, Le Breuil-en-Auge, Le Brévedent, Le Faulq, Le Mesnil-Guillaume, Le Mesnil-sur-Blangy, Le Pin, Le Theil-en-Auge, Le Torquesne, Les Authieux-sur-Calonne, Manerbe, Manneville-la-Pipard, Marolles, Merville-Franceville-Plage, Moyaux, Norolles, Ouilly-du-Houley, Ouilly-le-Vicomte, Ouistreham, Pennedepie, Petiville, Pierrefitte-en-Auge, Pont-l'Evêque, Putot-en-Auge, Périers-en-Auge, Périers-sur-le-Dan, Quetteville, Ranville, Reux, Rocques, Saint-André-d'Hébertot, Saint-Arnoult, Saint-Aubin-d'Arquenay, Saint-Benoît-d'Hébertot, Saint-Etienne-la-Thillaye, Saint-Gatien-des-Bois, Saint-Hymer, Saint-Jouin, Saint-Julien-sur-Calonne, Saint-Léger-Dubosq, Saint-Martin-aux-Chartrains, Saint-Philbert-des-Champs, Saint-Pierre-Azif, Saint-Samson, Saint-Vaast-en-Auge, Sallenelles, Surville, Touques, Tourgéville, Tourville-en-Auge, Trouville-sur-Mer, Varaville, Vauville, Vieux-Bourg, Villers-sur-Mer et Villerville"
14,5,"Agy, Anisy, Arganchy, Arromanches-les-Bains, Asnelles, Asnières-en-Bessin, Aure-sur-Mer, Aurseulles, Balleroy-sur-Drôme, Banville, Barbeville, Basly, Bayeux, Bazenville, Bernesq, Bernières-sur-Mer, Blay, Bricqueville, Bucéels, Bény-sur-Mer, Cahagnolles, Cairon, Cambes-en-Plaine, Campigny, Canchy, Cardonville, Cartigny-l'Epinay, Castillon, Caumont-sur-Aure, Chouain, Colleville-sur-Mer, Colombiers-sur-Seulles, Colombières, Colomby-Anguerny, Commes, Condé-sur-Seulles, Cormolain, Cottun, Courseulles-sur-Mer, Cresserons, Creully-sur-Seulles, Cricqueville-en-Bessin, Crouay, Crépon, Cussy, Deux-Jumeaux, Douvres-la-Délivrande, Ellon, Englesqueville-la-Percée, Esquay-sur-Seulles, Etréham, Fontaine-Henry, Formigny-la-Bataille, Foulognes, Grandcamp-Maisy, Graye-sur-Mer, Guéron, Géfosse-Fontenay, Hermanville-sur-Mer, Hottot-les-Bagues, Isigny-sur-Mer, Juaye-Mondaye, La Bazoque, La Cambe, La Folie, Langrune-sur-Mer, Le Breuil-en-Bessin, Le Fresne-Camilly, Le Manoir, Le Molay-Littry, Le Tronquay, Lingèvres, Lion-sur-Mer, Lison, Litteau, Longues-sur-Mer, Longueville, Luc-sur-Mer, Magny-en-Bessin, Maisons, Mandeville-en-Bessin, Manvieux, Mathieu, Meuvaines, Monceaux-en-Bessin, Monfréville, Montfiquet, Mosles, Moulins-en-Bessin, Nonant, Noron-la-Poterie, Osmanville, Planquery, Plumetot, Pont-sur-Seulles, Port-en-Bessin-Huppain, Ranchy, Reviers, Rosel, Rots (en partie), Rubercy, Ryes, Saint-Aubin-sur-Mer, Saint-Côme-de-Fresné, Saint-Germain-du-Pert, Saint-Laurent-sur-Mer, Saint-Loup-Hors, Saint-Marcouf, Saint-Martin-de-Blagny, Saint-Martin-des-Entrées, Saint-Paul-du-Vernay, Saint-Pierre-du-Mont, Saint-Vigor-le-Grand, Sainte-Croix-sur-Mer, Sainte-Honorine-de-Ducy, Sainte-Marguerite-d'Elle, Sallen, Saon, Saonnet, Sommervieu, Subles, Sully, Surrain, Thaon, Tour-en-Bessin, Tournières, Tracy-sur-Mer, Trungy, Trévières, Val-de-Drôme (en partie), Vaucelles, Vaux-sur-Aure, Vaux-sur-Seulles, Ver-sur-Mer, Vienne-en-Bessin, Vierville-sur-Mer et Villons-les-Buissons"
14,6,"Acqueville, Amayé-sur-Orne, Amayé-sur-Seulles, Angoville, Avenay, Baron-sur-Odon, Beaumesnil, Bellengreville, Bonnemaison, Bougy, Bourguébus, Brémoy, Cahagnes, Campagnolles, Cauville, Cesny-Bois-Halbout, Cesny-aux-Vignes, Clécy, Combray, Condé-en-Normandie, Cossesseville, Courvaudon, Croisilles, Culey-le-Patry, Dialan-sur-Chaîne, Donnay, Epinay-sur-Odon, Espins, Esquay-Notre-Dame, Esson, Eterville, Evrecy, Feuguerolles-Bully, Fontaine-Etoupefour, Fontenay-le-Marmion, Frénouville, Garcelles-Secqueville, Gavrus, Goupillières, Grentheville, Hubert-Folie, La Caine, La Pommeraye, La Villette, Laize-Clinchamps, Landelles-et-Coupigny, Landes-sur-Ajon, Le Bô, Le Hom, Le Mesnil-Robert, Le Mesnil-au-Grain, Le Vey, Les Loges, Les Monts-d'Aunay, Longvillers, Maisoncelles-Pelvey, Maisoncelles-sur-Ajon, Maizet, Malherbe-sur-Ajon, Maltot, Martainville, May-sur-Orne, Meslay, Montigny, Monts-en-Bessin, Moult-Chicheboville, Noues-de-Sienne, Ouffières, Ouézy, Parfouru-sur-Odon, Placy, Pont-Bellanger, Pont-Farcy, Pontécoulant, Préaux-Bocage, Périgny, Rocquancourt, Saint-Aignan-de-Cramesnil, Saint-André-sur-Orne, Saint-Aubin-des-Bois, Saint-Denis-de-Méré, Saint-Lambert, Saint-Louet-sur-Seulles, Saint-Martin-de-Fontenay, Saint-Omer, Saint-Pierre-du-Fresne, Saint-Rémy, Sainte-Honorine-du-Fay, Sainte-Marie-Outre-l'Eau, Seulline, Soliers, Souleuvre-en-Bocage, Terres-de-Druance, Tilly-la-Campagne, Tournebu, Tourville-sur-Odon, Tracy-Bocage, Trois-Monts, Vacognes-Neuilly, Val-d'Arry, Val-de-Drôme (en partie), Valambray (en partie), Valdallière, Verson, Vieux, Villers-Bocage, Villy-Bocage et Vire-Normandie"
15,1,"Arnac, Arpajon-sur-Cère, Aurillac, Ayrens, Badailhac, Besse, Boisset, Calvinet, Carlat, Cassaniouze, Cayrols, Crandelles, Cros-de-Montvert, Cros-de-Ronesque, Freix-Anglards, Giou-de-Mamou, Girgols, Glénat, Jou-sous-Monjou, Junhac, Jussac, La Ségalassière, Labesserette, Labrousse, Lacapelle-Viescamp, Lacapelle-del-Fraisse, Ladinhac, Lafeuillade-en-Vézie, Lapeyrugue, Laroquebrou, Laroquevieille, Lascelle, Le Rouget-Pers, Le Trioulou, Leucamp, Leynhac, Mandailles-Saint-Julien, Marcolès, Marmanhac, Maurs, Montmurat, Montsalvy, Montvert, Mourjou, Naucelles, Nieudan, Omps, Pailherols, Parlan, Polminhac, Prunet, Quézac, Raulhac, Reilhac, Roannes-Saint-Mary, Rouffiac, Roumégoux, Rouziers, Saint-Antoine, Saint-Cernin, Saint-Cirgues-de-Jordanne, Saint-Cirgues-de-Malbert, Saint-Clément, Saint-Constant-Fournoulès, Saint-Etienne-Cantalès, Saint-Etienne-de-Carlat, Saint-Etienne-de-Maurs, Saint-Gérons, Saint-Illide, Saint-Jacques-des-Blats, Saint-Julien-de-Toursac, Saint-Mamet-la-Salvetat, Saint-Paul-des-Landes, Saint-Santin-Cantalès, Saint-Santin-de-Maurs, Saint-Saury, Saint-Simon, Saint-Victor, Sansac-Veinazès, Sansac-de-Marmiesse, Siran, Sénezergues, Teissières-de-Cornet, Teissières-lès-Bouliès, Thiézac, Tournemire, Velzic, Vezels-Roussy, Vic-sur-Cère, Vieillevie, Vitrac, Vézac, Yolet et Ytrac"
15,2,"Albepierre-Bredons, Allanche, Alleuze, Ally, Andelat, Anglards-de-Saint-Flour, Anglards-de-Salers, Anterrieux, Antignac, Apchon, Arches, Auriac-l'Eglise, Auzers, Barriac-les-Bosquets, Bassignac, Beaulieu, Bonnac, Brageac, Brezons, Celoux, Chaliers, Chalvignac, Champagnac, Champs-sur-Tarentaine-Marchal, Chanterelle, Charmensac, Chaudes-Aigues, Chaussenac, Chazelles, Cheylade, Clavières, Collandres, Coltines, Condat, Coren, Cussac, Cézens, Deux-Verges, Dienne, Drugeac, Escorailles, Espinasse, Ferrières-Saint-Mary, Fontanges, Fridefont, Gourdièges, Jabrun, Jaleyrac, Joursac, La Chapelle-Laurent, La Chapelle-d'Alagnon, La Monselie, La Trinitat, Lacapelle-Barrès, Landeyrat, Lanobre, Lastic, Laurie, Laveissenet, Laveissière, Lavigerie, Le Claux, Le Falgoux, Le Fau, Le Monteil, Le Vaulmier, Le Vigean, Les Ternes, Leyvaux, Lieutadès, Lorcières, Lugarde, Madic, Malbo, Marcenat, Marchastel, Massiac, Mauriac, Maurines, Menet, Mentières, Molompize, Molèdes, Montboudif, Montchamp, Montgreleix, Moussages, Murat, Méallet, Narnhac, Neussargues en Pinatelle, Neuvéglise-sur-Truyère, Paulhac, Paulhenc, Peyrusse, Pierrefort, Pleaux, Pradiers, Rageade, Riom-ès-Montagnes, Roffiac, Ruynes-en-Margeride, Rézentières, Saignes, Saint-Amandin, Saint-Bonnet-de-Condat, Saint-Bonnet-de-Salers, Saint-Chamant, Saint-Etienne-de-Chomeil, Saint-Flour, Saint-Georges, Saint-Hippolyte, Saint-Martial, Saint-Martin-Cantalès, Saint-Martin-Valmeroux, Saint-Martin-sous-Vigouroux, Saint-Mary-le-Plain, Saint-Paul-de-Salers, Saint-Pierre, Saint-Poncy, Saint-Projet-de-Salers, Saint-Rémy-de-Chaudes-Aigues, Saint-Saturnin, Saint-Urcize, Saint-Vincent-de-Salers, Sainte-Eulalie, Sainte-Marie, Salers, Salins, Sauvat, Soulages, Sourniac, Ségur-les-Villas, Talizat, Tanavelle, Tiviers, Trizac, Trémouille, Ussel, Vabres, Val d'Arcomie, Valette, Valjouze, Valuéjols, Vebret, Vernols, Veyrières, Vieillespesse, Villedieu, Virargues, Vèze, Védrines-Saint-Loup et Ydes"
16,1,"Angoulême, Balzac, Bouëx, Champniers, Dirac, Fléac, Garat, Gond-Pontouvre, L'Isle-d'Espagnac, La Couronne, Magnac-sur-Touvre, Mornac, Nersac, Puymoyen, Roullet-Saint-Estèphe, Ruelle-sur-Touvre, Saint-Michel, Saint-Yrieix-sur-Charente, Soyaux, Touvre, Voeuil-et-Giget et Vouzan"
16,2,"Ambleville, Angeac-Champagne, Angeac-Charente, Angeduc, Ars, Aubeterre-sur-Dronne, Baignes-Sainte-Radegonde, Barbezieux-Saint-Hilaire, Bardenac, Barret, Bassac, Bazac, Bellevigne, Bellon, Berneuil, Bessac, Birac, Blanzaguet-Saint-Cybard, Boisbreteau, Boisné-La-Tude, Bonnes, Bonneuil, Bors(Canton de Baignes-Sainte-Radegonde), Bors(Canton de Montmoreau-Saint-Cybard), Bourg-Charente, Bouteville, Boutiers-Saint-Trojan, Brie-sous-Barbezieux, Brie-sous-Chalais, Brossac, Bréville, Bécheresse, Chadurie, Chalais, Challignac, Champagne-Vigny, Chantillac, Chassors, Cherves-Richemont, Chillac, Châteaubernard, Châteauneuf-sur-Charente, Châtignac, Claix, Cognac, Combiers, Condéon, Coteaux du blanzacais, Courgeac, Courlac, Criteuil-la-Magdeleine, Curac, Deviat, Dignac, Edon, Etriac, Fleurac, Fouquebrune, Foussignac, Gardes-le-Pontaroux, Gensac-la-Pallue, Genté, Gimeux, Gondeville, Graves Saint Amant, Guimps, Guizengeard, Gurat, Houlette, Jarnac, Javrezac, Juignac, Juillac-le-Coq, Julienne, Lachaise, Ladiville, Lagarde-sur-le-Né, Laprade, Le Tâtre, Les Essards, Les Métairies, Lignières-Sonneville, Louzac-Saint-André, Magnac-Lavalette-Villars, Mainxe, Merpins, Mesnac, Montboyer, Montignac-le-Coq, Montmoreau, Montmérac, Mosnac, Mouthiers-sur-Boëme, Médillac, Mérignac, Nabinaud, Nercillac, Nonac, Oriolles, Orival, Palluaud, Passirac, Pillac, Plassac-Rouffiac, Poullignac, Pérignac, Reignac, Rioux-Martin, Ronsenac, Rouffiac, Rougnac, Réparsac, Saint-Aulais-la-Chapelle, Saint-Avit, Saint-Bonnet, Saint-Brice, Saint-Fort-sur-le-Né, Saint-Félix, Saint-Laurent-de-Cognac, Saint-Laurent-des-Combes, Saint-Léger, Saint-Martial, Saint-Médard, Saint-Même-les-Carrières, Saint-Palais-du-Né, Saint-Preuil, Saint-Quentin-de-Chalais, Saint-Romain, Saint-Simeux, Saint-Simon, Saint-Sulpice-de-Cognac, Saint-Séverin, Saint-Vallier, Sainte-Souline, Sainte-Sévère, Salles-Lavalette, Salles-d'Angles, Salles-de-Barbezieux, Sauvignac, Segonzac, Sers, Sigogne, Torsac, Touvérac, Triac-Lautrait, Val des Vignes, Vaux-Lavalette, Verrières, Vibrac, Vignolles, Villebois-Lavalette, Voulgézac et Yviers"
16,3,"Abzac, Agris, Aigre, Alloue, Ambernac, Ambérac, Anais, Ansac-sur-Vienne, Anville, Asnières-sur-Nouère, Auge St Medard, Aunac sur Charente, Aussac-Vadalle, Barbezières, Barro, Beaulieu-sur-Sonnette, Benest, Bernac, Bessé, Bioussac, Bonneville, Brettes, Brie, Brigueuil, Brillac, Bunzac, Cellefrouin, Cellettes, Chabanais, Chabrac, Champagne-Mouton, Champmillon, Charmé, Charras, Chasseneuil-sur-Bonnieure, Chassenon, Chassiecq, Chazelles, Chenon, Cherves-Châtelars, Chirac, Condac, Confolens, Coulgens, Coulonges, Courbillac, Courcôme, Couture, Douzat, Ebréon, Echallat, Ecuras, Empuré, Epenède, Esse, Etagnac, Exideuil, Eymouthiers, Feuillade, Fontclaireau, Fontenille, Fouqueure, Genac-Bignac, Genouillac, Gourville, Grassac, Hiersac, Hiesse, Jauldes, Juillé, La Chapelle, La Chèvrerie, La Faye, La Forêt-de-Tessé, La Magdeleine, La Péruse, La Rochefoucauld, La Rochette, La Tâche, Le Bouchage, Le Grand-Madieu, Le Lindois, Le Vieux-Cérier, Les Adjots, Les Gours, Les Pins, Lessac, Lesterps, Lichères, Ligné, Linars, Londigny, Longré, Lonnes, Lupsault, Lussac, Luxé, Lésignac-Durand, Maine-de-Boixe, Mainzac, Manot, Mansle, Marcillac-Lanville, Mareuil, Marillac-le-Franc, Marsac, Marthon, Massignac, Mazerolles, Mazières, Mons, Montbron, Montemboeuf, Montignac-Charente, Montigné, Montjean, Montrollet, Moulidars, Mouton, Moutonneau, Mouzon, Nanclars, Nanteuil-en-Vallée, Nieuil, Oradour, Oradour-Fanais, Orgedeuil, Paizay-Naudouin-Embourie, Parzac, Pleuville, Poursac, Pranzac, Pressignac, Puyréaux, Raix, Rancogne, Ranville-Breuillaud, Rivières, Rouillac, Roumazières-Loubert, Roussines, Rouzède, Ruffec, Saint-Adjutory, Saint-Amant-de-Boixe, Saint-Amant-de-Bonnieure, Saint-Amant-de-Nouère, Saint-Angeau, Saint-Christophe, Saint-Ciers-sur-Bonnieure, Saint-Claud, Saint-Coutant, Saint-Cybardeaux, Saint-Fraigne, Saint-Front, Saint-Genis-d'Hiersac, Saint-Georges, Saint-Germain-de-Montbron, Saint-Gourson, Saint-Groux, Saint-Laurent-de-Céris, Saint-Martin-du-Clocher, Saint-Mary, Saint-Maurice-des-Lions, Saint-Projet-Saint-Constant, Saint-Quentin-sur-Charente, Saint-Saturnin, Saint-Sornin, Saint-Sulpice-de-Ruffec, Sainte-Colombe, Salles-de-Villefagnan, Saulgond, Sauvagnac, Sireuil, Souffrignac, Souvigné, Suaux, Suris, Taizé-Aizie, Taponnat-Fleurignac, Theil-Rabier, Tourriers, Trois-Palis, Turgon, Tusson, Tuzie, Valence, Vars, Vaux-Rouillac, Ventouse, Verdille, Verneuil, Verteuil-sur-Charente, Vervant, Vieux-Ruffec, Vilhonneur, Villefagnan, Villegats, Villejoubert, Villejésus, Villiers-le-Roux, Villognon, Vindelle, Vitrac-Saint-Vincent, Vouharte, Vouthon, Xambes et Yvrac-et-Malleyrand"
17,1,"Ars-en-Ré, Dompierre-sur-Mer, Esnandes, L'Houmeau, La Couarde-sur-Mer, La Flotte, La Rochelle, Lagord, Le Bois-Plage-en-Ré, Les Portes-en-Ré, Loix, Marsilly, Nieul-sur-Mer, Puilboreau, Périgny, Rivedoux-Plage, Saint-Clément-des-Baleines, Saint-Martin-de-Ré, Saint-Xandre et Sainte-Marie-de-Ré"
17,2,"Aigrefeuille-d'Aunis, Anais, Andilly, Angliers, Angoulins, Ardillières, Aytré, Ballon, Benon, Bouhet, Bourgneuf, Breuil-Magné, Breuil-la-Réorte, Chambon, Charron, Châtelaillon-Plage, Ciré-d'Aunis, Clavette, Courçon, Cramchaban, Croix-Chapeau, Ferrières, Forges, Fouras, Ile-d'Aix, La Grève-sur-Mignon, La Jarne, La Jarrie, La Laigne, La Ronde, Landrais, Le Gué-d'Alleré, Le Thou, Loire-les-Marais, Longèves, Marans, Marsais, Montroy, Nuaillé-d'Aunis, Puyravault, Péré, Rochefort, Saint-Christophe, Saint-Cyr-du-Doret, Saint-Georges-du-Bois, Saint-Germain-de-Marencennes, Saint-Jean-de-Liversay, Saint-Laurent-de-la-Prée, Saint-Mard, Saint-Médard-d'Aunis, Saint-Ouen-d'Aunis, Saint-Pierre-d'Amilly, Saint-Rogatien, Saint-Saturnin-du-Bois, Saint-Sauveur-d'Aunis, Saint-Vivien, Sainte-Soulle, Salles-sur-Mer, Surgères, Taugon, Thairé, Vandré, Vergeroux, Villedoux, Virson, Vouhé, Vérines et Yves"
17,3,"Annepont, Annezay, Antezant-la-Chapelle, Archingeay, Asnières-la-Giraud, Aujac, Aulnay, Aumagne, Authon-Ebéon, Bagnizeau, Ballans, Bazauges, Beauvais-sur-Matha, Bercloux, Bernay-Saint-Martin, Bignay, Blanzac-lès-Matha, Blanzay-sur-Boutonne, Bords, Bresdon, Brie-sous-Matha, Brizambourg, Burie, Bussac-sur-Charente, Champdolent, Chaniers, Chantemerle-sur-la-Soie, Cherbonnières, Chermignac, Chervettes, Chives, Chérac, Coivert, Contré, Courant, Courcelles, Courcerac, Courcoury, Cressé, Dampierre-sur-Boutonne, Doeuil-sur-le-Mignon, Dompierre-sur-Charente, Ecoyeux, Ecurat, Essouvert, Fenioux, Fontaine-Chalendray, Fontcouverte, Fontenet, Gibourne, Gourvillette, Grandjean, Haimps, Juicq, La Brousse, La Chapelle-des-Pots, La Croix-Comtesse, La Frédière, La Jarrie-Audouin, La Vergne, La Villedieu, Landes, Le Douhet, Le Gicq, Le Mung, Le Seure, Les Eduts, Les Eglises-d'Argenteuil, Les Gonds, Les Nouillers, Les Touches-de-Périgny, Loiré-sur-Nie, Loulay, Louzignac, Lozay, Macqueville, Massac, Matha, Mazeray, Migron, Migré, Mons, Nachamps, Nantillé, Neuvicq-le-Château, Nieul-lès-Saintes, Nuaillé-sur-Boutonne, Néré, Paillé, Pessines, Poursay-Garnaud, Prignac, Préguillac, Puy-du-Lac, Puyrolland, Romazières, Saint-Bris-des-Bois, Saint-Crépin, Saint-Césaire, Saint-Félix, Saint-Georges-de-Longuepierre, Saint-Georges-des-Coteaux, Saint-Hilaire-de-Villefranche, Saint-Jean-d'Angély, Saint-Julien-de-l'Escap, Saint-Laurent-de-la-Barrière, Saint-Loup, Saint-Mandé-sur-Brédoire, Saint-Martial, Saint-Martin-de-Juillers, Saint-Ouen, Saint-Pardoult, Saint-Pierre-de-Juillers, Saint-Pierre-de-l'Isle, Saint-Sauvant, Saint-Savinien, Saint-Séverin-sur-Boutonne, Saint-Vaize, Sainte-Même, Saintes, Saleignes, Seigné, Siecq, Sonnac, Taillant, Taillebourg, Ternant, Thors, Thénac, Tonnay-Boutonne, Torxé, Varaize, Varzay, Vergné, Vervant, Villars-les-Bois, Villemorin, Villeneuve-la-Comtesse, Villiers-Couture, Vinax, Voissay et Vénérand"
